rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,Razsiel,142409502,,,,,1,True
2,CeltirDK,67414261,,,,,2,True
3,xMorphx,62065244,,,,,3,True
4,PappyPapper,57579163,,,,,4,True
5,xAeolus,55581661,,,,,5,True
6,Raffyy,55576127,,,,,6,True
7,vlvl,54186984,,,,,7,True
8,ботаник,53657901,,,,,8,True
9,Ojisangl,53563447,,,,,9,True
10,AboFahad,52168337,,,,,10,True
11,Аджика,49731249,,,,,11,True
12,TecchiFireball,49469143,,,,,12,True
13,Dead_Anarchist,49097986,3855924,,,,13,True
14,Сёмона,48721697,,,,,14,True
15,AntyDeath,47611799,,,,,15,True
16,Marinel,45394660,,,,,17,True
17,Măcelaru,44499794,,,,,18,True
18,sane4ek,44297848,,94300,,,19,True
19,Kalbaram,44231601,,,,,20,True
20,XSTORMX,44043496,,,,,21,True
21,CHADZ,43904326,,,,,22,True
22,Серый777666,43612506,,,,,23,True
23,Solosparkzzz,42790039,,,,,24,True
24,TrepanatioXXL,42763695,,,,,25,True
25,xesseku,42731751,,,,,26,True
26,RosGuard,41950838,,,,,27,True
27,DRANGER,41671718,,,,,28,True
28,Zph,41200037,,,,,29,True
29,Homeland,40449072,,,,,31,True
30,Batangbata,40397304,,,,,32,True
31,bigcheese,194788,,,,,16,True
32,VonGodeuro,145225,,,,,30,True
