rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,PappyPapper,57579163,,,,,4,True
2,xAeolus,55581661,,,,,5,True
3,Raffyy,55576127,,85100,,,6,True
4,vlvl,54186984,5426574,,,,7,True
5,ботаник,53657901,2999894,,,,8,True
6,Ojisangl,53563447,,92300,18935,,9,True
7,AboFahad,52168337,,,,481,10,True
8,Аджика,49731249,,93700,35603,,11,True
9,TecchiFireball,49469143,9139072,91600,,681,12,True
10,Dead_Anarchist,49097986,3855924,,,,13,True
11,Сёмона,48721697,14585580,,,,14,True
12,AntyDeath,47611799,8871143,86400,,,15,True
13,bigcheese,47194788,4090111,,23245,,16,True
14,Marinel,45394660,4611640,92200,18382,456,17,True
15,Măcelaru,44499794,5216666,,,,18,True
16,sane4ek,44297848,9371670,98300,,,19,True
17,Kalbaram,44231601,,99400,18649,1091,20,True
18,XSTORMX,44043496,2979097,,3706,675,21,True
19,CHADZ,43904326,,93500,,519,22,True
20,Серый777666,43612506,4656980,,,457,23,True
21,Solosparkzzz,42790039,,,,,24,True
22,TrepanatioXXL,42763695,16732358,,16220,490,25,True
23,xesseku,42731751,,96900,3911,459,26,True
24,RosGuard,41950838,,,,,27,True
25,DRANGER,41671718,,85600,,,28,True
26,Zph,41200037,2219092,92400,,694,29,True
27,Homeland,40449072,7168904,,15562,453,31,True
28,Batangbata,40397304,3706412,87600,44928,876,32,True
29,Ceuunron,6414261,,,,,2,True
30,xMorpпx,6206524,,,,464,3,True
31,Kazsiel,1424952,29310058,92300,,1050,1,True
32,VonGodeuro,145225,8384874,96700,,,30,True
