rank,name,power,kills,weekly_contribution,construction,tribe_assistance,gold_donation,read_rank,is_valid
1,NanP,132272194,,83800,132015,1353,,10,True
2,Razsiel,44159316,5073,86700,0,1687,,1,True
3,kimse81,24399349,,67800,24602,1052,,2,True
4,Raffyy,23219611,,82300,0,1501,,3,True
5,AntyDeath,20949408,1392524,76300,89891,1220,,4,True
6,bigcheese,20739075,399235,83100,,68,,5,True
7,Taidana,17847540,,77000,87369,968,,6,True
8,XSTORMX,16796407,18407,75900,2813,1728,,7,True
9,KMGLAY,13896723,,69700,4565,1528,,8,True
10,xAeolus,13692675,17302,75200,59032,1179,,9,True
11,Batangbata,13196035,698716,76400,126181,978,,11,True
12,Marinel,11562629,11568,84800,3938,1130,,12,True
13,Tecchi,11540317,182952,72100,39742,1006,,13,True
14,xMorphx,11281934,7412,78700,30127,1517,,14,True
15,Baronbee,10535669,,75900,58441,1714,,15,True
16,TeddyT,10169337,379808,64900,49572,661,,16,True
17,VonGodeuro,10062053,209374,77000,0,833,,17,True
18,Douzeper,10009995,108468,61100,11707,625,,18,True
19,AutisticDragon,9692524,328782,82700,0,1035,,19,True
20,CHADZ,9658338,6760,80100,19896,1384,,20,True
21,在下梅遊鉛,9465980,20951,66700,0,838,,21,True
22,redripe,9149795,,43100,,535,,22,True
23,xesseku,9070612,10249,79700,155520,843,,23,True
24,bloodyxmary,9069089,55973,82100,20763,637,,24,True
25,Ornthrond,9012184,31861,85600,0,1491,,25,True
26,Novac,8839059,3521,97500,11158,2061,,26,True
27,BestGodoo7x,8750014,38601,74200,11410,1003,,27,True
28,mamon,8710524,36627,73900,0,651,,28,True
29,Riggles,8454750,,10600,,104,,29,True
30,DragonKiller,8437030,176447,80200,4523,877,,30,True
31,SeRaFeTTiN,8427320,168406,71400,3306,505,,31,True
32,Zph,8409767,553767,5400,4501,281,,32,True
33,AuditorMuda,8318158,,75200,158196,1545,,33,True
34,no3Ldev,7966188,1238920,78200,22039,1113,,34,True
35,すももん,7870435,,78800,0,1340,,35,True
36,Helikaeon,7783026,,63300,48566,679,,36,True
37,Shreff,7758066,,67100,0,777,,37,True
38,Kalbaram,7696759,,80600,16866,2090,,38,True
39,Khaleesil3,7657819,,73500,41192,1130,,39,True
40,AlfaStraik,7406296,8606,76400,0,803,,40,True
41,beast,7097470,,1000,,51,,41,True
42,ゆ一一,6830912,7182,30200,850,445,,42,True
43,HoTDog,6772616,24866,56200,79429,728,,43,True
44,ThoroMG,6761223,,55900,2627,920,,44,True
45,Abanob,6720256,18743,7700,0,122,,45,True
46,TheGuardainz,6654726,,50900,25534,381,,46,True
47,Denton1o4,6597792,,,,,,47,True
48,Zoraool,6545957,,83800,139199,905,,48,True
49,drikol,6436338,3346,68600,48030,448,,49,True
50,chamame,6406455,2997,35400,0,613,,50,True
51,ZINK,6387567,2492,74800,0,1087,,51,True
52,lizardcub,6351030,,41000,34278,271,,52,True
53,klA,6180629,,15700,,464,,53,True
54,FreakyJD,6123949,,80500,15974,1194,,54,True
55,BigZik,6055583,662,70900,18286,781,,55,True
56,PWQJEJFL,6010710,7440,79900,5386,740,,56,True
57,Anatole,5904412,,60400,42629,395,,57,True
58,Layy,5903378,,47300,,348,,58,True
59,Phantompain,5824590,5547,63600,0,129,,59,True
60,Cy4nnn,5807060,,84000,0,544,,60,True
61,Kudgar,5780935,,,0,,,61,True
62,Azorero,5767573,34660,64400,5588,402,,62,True
63,RisingCrown,5758509,30744,57900,37820,391,,63,True
64,RamoxD,5673705,,70000,0,6,,64,True
65,yakut,5524870,1236,21000,5299,240,,65,True
66,Windows8,5469803,,41900,0,658,,66,True
67,HEMANN,5448606,1868,78600,,442,,67,True
68,칭키스칸,5359953,,70600,0,242,,68,True
69,gabbu,5313145,,81000,1711,1092,,69,True
70,weshcoll,5152900,,24400,0,278,,70,True
71,MCGTHEGEMINI,4665136,,30200,,85,,71,True
72,ErdiAksoy37,4589190,,49400,,136,,72,True
73,YaVuZ,4272362,146000,8700,3312,57,,73,True
74,Tarub,4260492,,23600,0,181,,74,True
75,Lemarck,4118685,,29300,0,177,,75,True
76,krales,4103340,67870,200,0,38,,76,True
77,Rebelyus,4102576,4091,31100,0,208,,77,True
78,ERINX,4032062,,52500,18003,264,,78,True
79,GoVet,3747575,8142,1800,,71,,79,True
80,Moliaro,3689253,,6500,0,52,,80,True
81,Memobrw,3176109,25582,,,53,,81,True
82,Rocco23,2393331,,200,0,15,,82,True
83,Uolivaoon,702026,,,,52,,2,True
84,шuvu,1210,,,,,,9,True
