rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,PappyPapper,57579163,,,,,4,True
2,Raffyy,55576127,,,,,6,True
3,vlvl,54186984,,,,,7,True
4,ботаник,53657901,,,,,8,True
5,Ojisan91,53563447,,,,,9,True
6,AboFahad,52168337,,,,,10,True
7,Аджика,49731249,,,,,11,True
8,TecchiFireball,49469143,,,,,12,True
9,Сiмона,48721697,,,,,14,True
10,AntyDeath,47611799,,,,,15,True
11,Măcelaru,44499794,,,,,18,True
12,saneqek,44297848,,13200,,,19,True
13,Kalbaram,44231601,,,,,20,True
14,CHADZ,43904325,,,,,22,True
15,Серый777666,43612506,,,,,23,True
16,Solosparkzzz,42790039,,,,,24,True
17,TrepanatioXXL,42763695,,,,,25,True
18,xesseku,42731751,,,,,26,True
19,DRANGER,41671718,,,,,28,True
20,Zph,41200037,,,,,29,True
21,VonGodeuro,41145225,,,,,20,True
22,Homeland,40449074,,,,,31,True
23,Batangbata,40397304,,,,,32,True
24,Dead_Anarchist,4909798,3855924,,,,13,True
25,bigcheese,4719478,,,,,16,True
26,Marinel,4539466,,,,,17,True
27,XSTORMX,4404349,,,,,21,True
28,RosGuard,4195083,,,,,27,True
