rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,Ceuuron,641426114249502,,,,,2,True
2,XMorpnx,62065244,,,,464,3,True
3,PappyPapper,57579163,,,,,4,True
4,xAeolus,55581661,,,,,5,True
5,Raffyy,55576127,,,,,6,True
6,vlvl,54186984,,,,,7,True
7,ботаник,53657901,,,,,8,True
8,Ojisan91,53563447,,,,,9,True
9,AboFahad,52168337,,,,,10,True
10,Аджика,49731249,,,,,11,True
11,TecchiFireball,49469143,,,,,12,True
12,Dead_Anarchist,49097986,,,,,13,True
13,Сiмона,48721697,,,,,14,True
14,AntyDeath,47611799,,,,,15,True
15,Marinel,45394660,,,,,17,True
16,Măcelaru,44499794,,,,,18,True
17,sane4ek,44297848,,,,,19,True
18,Kalbaram,44231601,,,,,20,True
19,XSTORMX,44043496,,,,,21,True
20,CHADZ,43904326,,,,,22,True
21,Серый777666,43612506,,,,,23,True
22,TrepanatioXXL,42763695,,,,,25,True
23,xesseku,42731751,,,,,26,True
24,RosGuard,41950838,,,,,27,True
25,DRANGER,41671718,,,,,28,True
26,Zph,41200037,,,,,29,True
27,VonGodeuro,41145225,,,,,30,True
28,Homeland,40449072,,,,,31,True
29,Batangbata,40397304,,,,,32,True
30,Kazsiel,14249502,,91100,,1043,1,True
31,Solosparkzzz,790039,,,,,24,True
32,bigcheese,194788,,,,,16,True
