rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,Razsiel,47766916,5073,89700,,1820,1,True
2,Raffyy,24456751,,85000,0,1707,2,True
3,kimse81,24399349,,67800,24602,1052,3,True
4,AntyDeath,21678321,1432543,84300,89891,1356,4,True
5,bigcheese,21596730,399235,93000,0,291,5,True
6,Taidana,19163305,,79000,87369,1166,6,True
7,XSTORMX,17028241,18407,78500,2813,1950,7,True
8,xAeolus,14690895,17302,79900,59032,1430,8,True
9,KMGLAY,14607425,,75300,4565,1704,9,True
10,Batangbata,13233745,698716,81500,126181,1001,10,True
11,NanP,13227317,,88700,132015,1375,11,True
12,Tecchi,12272576,182952,78600,40142,1134,12,True
13,Marinel,11613929,11568,85100,3938,1143,13,True
14,xMorphx,11556286,7412,85400,30127,3698,14,True
15,Baronbee,10681951,,75900,58441,3742,15,True
16,Douzeper,10465970,108468,63500,13330,876,16,True
17,VonGodeuro,10266958,209374,79000,,920,17,True
18,TeddyT,10169337,379808,64900,49572,661,18,True
19,DragonKiller,9903684,176447,83200,4523,1066,19,True
20,AutisticDragon,9830944,328782,82700,0,1046,20,True
21,Riggles,9661120,,19100,,133,21,True
22,CHADZ,9658338,6760,80100,19896,1384,22,True
23,在下梅遊鉛,9533610,20951,73400,,889,23,True
24,BestGodOOZx,9342854,38601,79700,11410,1118,24,True
25,redripe,9196563,,43100,0,577,25,True
26,xesseku,9128974,10249,79700,155520,877,26,True
27,bloodyxmary,9082429,55973,82100,20763,637,27,True
28,Novac,9023197,3521,105600,11158,2237,28,True
29,Ornthrond,9012184,31861,85600,,1491,29,True
30,mamon,8781524,36627,73900,,667,30,True
31,AuditorMuda,8566296,,81800,158196,1781,31,True
32,Zph,8497558,553767,12300,4501,422,32,True
33,SeRaFeTTiN,8427320,168406,71400,3306,505,33,True
34,Kalbaram,8187533,,84400,16866,2288,34,True
35,すももん,8122078,,86000,,1465,35,True
36,no3Ldev,8042991,1238920,79300,22039,1144,36,True
37,Shreff,8040561,,75000,,866,37,True
38,Helikaeon,7783026,,63300,48566,679,38,True
39,Khaleesil3,7662156,,73900,41192,1173,39,True
40,AlfaStraik,7406296,8606,76400,0,803,40,True
41,beast,7113595,,1000,,,41,True
42,Zoraool,7013689,,86900,139199,1032,42,True
43,ゆ一一,6993215,7182,38900,,496,43,True
44,ThoroMG,6909379,,57600,2627,963,44,True
45,TheGuardainz,6847836,,59900,25534,445,45,True
46,HoTDog,6772856,24866,56200,79429,734,46,True
47,Abanob,6720256,18743,7700,,122,47,True
48,Dentonl04,6623883,,83300,25479,797,48,True
49,drikol,6469138,3346,68600,48030,460,49,True
50,chamame,6406455,2997,35400,,613,50,True
51,ZINK,6387567,2492,75500,,1094,51,True
52,FreakyJD,6386431,,87400,15974,1335,52,True
53,lizardcub,6351030,,41000,34278,271,53,True
54,BigZik,6264838,662,71700,18286,805,54,True
55,Windows8,6264135,,50800,,821,55,True
56,PWQJEJFL,6232256,7440,88300,5386,841,56,True
57,klA,6187849,,15700,,481,57,True
58,RisingCrown,6098589,30744,58300,37820,491,58,True
59,Layy,5903378,,47300,,348,59,True
60,Kudgar,5892475,,3700,,,60,True
61,Phantompain,5824590,5547,63600,,129,61,True
62,Cy4nnn,5817425,,90900,,551,62,True
63,Azorero,5767573,34660,64400,5588,402,63,True
64,RamoxD,5683980,,70000,,,64,True
65,yakut,5542645,1236,21000,5299,240,65,True
66,hefesto,5532164,,,,,66,True
67,칭키스칸,5494198,,70600,,242,67,True
68,HEMANN,5478561,1868,78600,,450,68,True
69,gabbu,5325731,18697,83000,1711,1119,69,True
70,ROTT,5302959,10247,,500,,70,True
71,weshcoll,5235911,,24400,,308,71,True
72,ErdiAksoy37,4746830,,59100,,155,72,True
73,Lemarck,4741500,,35300,,359,73,True
74,MCGTHEGEMINI,4689681,,39600,,123,74,True
75,Tarub,4448382,,23600,,203,75,True
76,YaVuZ,4283237,146000,8700,3312,,76,True
77,krales,4103340,67870,200,,,77,True
78,Rebelyus,4102576,4091,31700,,215,78,True
79,ERINX,4032062,,52500,18003,264,79,True
80,Moliaro,3698153,,6500,,,80,True
81,Memobrw,3415103,25582,,,,81,True
82,Rocco23,2408401,,8900,,,82,True
