rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,kimse81,36116440,9212,11400,0,163,1,True
2,Raffyy,29761391,42266,15600,0,168,2,True
3,AntyDeath,25839081,12487340,22800,4347,141,3,True
4,XSTORMX,24020342,18407,8700,0,159,4,True
5,bigcheese,23417068,783608,12200,0,117,5,True
6,PappyPapper,23185787,94907,9300,,134,6,True
7,xMorphx,21405105,14569,19900,4329,199,7,True
8,Taidana,21350435,17499,16300,0,107,8,True
9,TecchiFireball,19499810,484958,19000,10867,171,9,True
10,xAeolus,19283143,56466,12000,,143,10,True
11,KMGLAY,17774685,,18100,3060,176,11,True
12,Marinel,17042805,115429,16900,6300,126,12,True
13,NanP,16687135,27904,13100,16990,134,13,True
14,VonGodeuro,15361039,1445781,16100,16528,215,15,True
15,Novac,14906492,9239,16000,,179,16,True
16,CHADZ,14129591,6760,20500,,98,17,True
17,AutisticDragon,13907763,352013,18500,3778,,18,True
18,xesseku,13624780,10249,10800,32491,97,19,True
19,Baronbee,13253595,627124,12600,20859,133,20,True
20,ThoroMG,13172173,,10400,0,,21,True
21,Zph,12911101,634829,18900,27059,213,22,True
22,Douzeper,12846438,609916,3600,,,23,True
23,ゆ一一,12610337,7182,8600,,140,24,True
24,Kazyma,12608408,,13800,0,,25,True
25,Kalbaram,12390577,,15900,1154,268,26,True
26,在下梅遊鉛,11953462,20951,14400,11308,167,27,True
27,SeRaFeTTiN,11913196,325085,18300,,,28,True
28,WishingWells,11852118,1790559,,,,29,True
29,BestGodOOZx,11814489,134776,13900,500,93,30,True
30,Riggles,11803873,,16000,0,,31,True
31,AlfaStraik,11733958,8606,16900,,85,32,True
32,Zoraool,11712427,,29000,3967,159,33,True
33,redripe,11636797,,15600,0,,34,True
34,DragonKiller,11603079,176447,15500,4701,79,35,True
35,bloodyxmary,11594008,77222,18100,0,,36,True
36,AuditorMuda,11360203,,13400,18331,148,37,True
37,Ornthrond,11347618,31861,8700,0,,38,True
38,TeddyT,11281731,379808,17500,,75,39,True
39,Khaleesil3,11255136,51879,15500,8201,119,40,True
40,Zlithx,10956934,,22800,,,41,True
41,すももん,10765418,,14600,0,146,42,True
42,no3Ldev,10163364,128885,14900,,99,43,True
43,caprice,9924945,493965,13000,,87,44,True
44,Shreff,9914918,,12000,,,45,True
45,ERINX,9331568,283806,11500,,,46,True
46,公公寿蒡,9301305,,,,,47,True
47,PWQJEJFL,9006062,63753,18700,5064,85,48,True
48,gabbu,9003567,3029921,15400,15727,95,49,True
49,Abanob,8716156,433645,11800,,,50,True
50,Dentonl04,8707530,,,0,,51,True
51,ZINK,8627666,776319,19500,,87,52,True
52,chamame,8567944,2997,8900,,,53,True
53,TheGuardainz,8535903,,16000,2350,72,54,True
54,RamoxD,8424157,36312,8200,,,55,True
55,Kudgar,8234005,,,,,56,True
56,beast,8227395,,,,,57,True
57,Azorero,8227281,34660,20000,2392,92,58,True
58,HoTDog,8218458,24866,16000,4503,87,59,True
59,BigZik,8198474,662,12300,2887,73,60,True
60,Evangiline1302,7986868,33106,3700,,98,61,True
61,Evanguuinel3Uz,7986868,,,,,1,True
62,Cy4nnn,7923987,,9900,0,,62,True
63,FreakyJD,7892869,24486,19400,3288,150,63,True
64,drikol,7769504,3346,,3710,,64,True
65,ErdiAksoy37,7765085,69258,15300,,,65,True
66,louverebellel,7724587,35486,13700,5987,77,66,True
67,weshcoll,7702931,,17600,,114,67,True
68,Fighbird,7571219,13047,,0,,68,True
69,RisingCrown,7555953,91951,15900,2856,98,69,True
70,yakut,7542183,1236,20100,,88,70,True
71,lizardcub,7334235,,,0,,71,True
72,Falcon24,7272808,30637,14800,,,72,True
73,Layy,7119429,99264,,,,73,True
74,HEMANN,6973141,1868,10700,,,74,True
75,Tarub,6756413,,,,,75,True
76,YaVuZ,6711321,,12600,5348,88,76,True
77,Lemarck,6444964,,,,,77,True
78,MCGTHEGEMINI,6368168,,8500,,48,78,True
79,Phantompain,6147340,5547,,,,80,True
80,KingAnshul,5443701,,19400,,93,81,True
81,Rocco23,4369832,,22200,4088,,82,True
82,colocnarl,2721071,,,,,2,True
83,Solosparkzzz,2231971,,6400,,151,83,True
84,Batangbata,1651197,1556539,20800,19823,149,14,True
85,ScottT,185488,,7400,,,79,True
86,ratuvz,2100,1160977,,,,5,True
