rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,Razsiel,48079816,5073,90000,,1875,1,True
2,Raffyy,24466951,,85800,0,1776,2,True
3,kimse81,24399349,,67800,24602,1052,3,True
4,AntyDeath,21746189,1432543,86900,89891,1405,4,True
5,bigcheese,21652310,399235,93000,0,353,5,True
6,Taidana,19216105,,80200,87369,1215,6,True
7,XSTORMX,17048642,18407,78500,2813,2007,7,True
8,xAeolus,14967355,17302,81800,59032,1498,8,True
9,KMGLAY,14629459,,77600,4565,1754,9,True
10,Batangbata,13625100,698716,81500,126181,1028,10,True
11,NanP,13227317,,88700,132015,1375,11,True
12,Tecchi,12438859,182952,80400,40142,1165,12,True
13,xMorphx,11618076,7412,85400,30127,1761,13,True
14,Marinel,11613929,11568,85100,3938,1143,14,True
15,Douzeper,10828185,108468,69800,13330,967,15,True
16,Baronbee,10686851,,83200,58441,1761,16,True
17,VonGodeuro,10266958,209374,79000,,920,17,True
18,TeddyT,10236044,379808,70100,49572,693,18,True
19,CHADZ,10150783,6760,85400,19896,1428,19,True
20,DragonKiller,9918084,176447,83200,4523,1066,20,True
21,AutisticDragon,9831344,328782,82700,0,1067,21,True
22,Riggles,9661120,,19100,,133,22,True
23,在下梅遊鉛,9590160,20951,75400,,897,23,True
24,BestGodOOZx,9351416,38601,80300,11410,1132,24,True
25,redripe,9346960,,51400,0,577,25,True
26,xesseku,9128974,10249,79700,155520,877,26,True
27,bloodyxmary,9082429,55973,82100,20763,637,27,True
28,Novac,9045197,3521,105600,11158,2244,28,True
29,Ornthrond,9012184,318861,85600,,1491,29,True
30,Zph,8825862,553767,13300,10037,485,30,True
31,mamon,8781524,36627,73900,,667,31,True
32,すももん,8742288,,87000,,1534,32,True
33,AuditorMuda,8569877,,82900,158196,1828,33,True
34,SeRaFeTTiN,8427320,168406,71400,3306,505,34,True
35,Kalbaram,8358903,,85900,16866,2341,35,True
36,Shreff,8078761,,75000,,873,36,True
37,no3Ldev,8042991,1238920,79300,22039,1144,37,True
38,Khaleesi13,8023378,,76500,41192,1245,38,True
39,Helikaeon,7783026,,63300,48566,679,39,True
40,公公春夢,7411198,54310,,,,40,True
41,AlfaStraik,7406296,8606,76400,0,803,41,True
42,beast,7282930,,6900,,,42,True
43,Zoraool,7195039,,89300,139199,1064,43,True
44,ゆ一一,7001720,7182,38900,,510,44,True
45,ThorOMG,6910323,,57600,2627,980,45,True
46,chamame,6908482,2997,44000,,691,46,True
47,TheGuardainz,6847836,,59900,25534,445,47,True
48,HoTDog,6772856,24866,56200,79429,734,48,True
49,Abanob,6720256,18743,7700,,122,49,True
50,drikol,6669746,3346,77100,48030,510,50,True
51,Dentonl04,6623883,,83300,25479,797,51,True
52,lizardcub,6463540,,48000,34278,285,52,True
53,klA,6437644,,15700,,520,53,True
54,FreakyJD,6406931,,87400,15974,1335,54,True
55,ZINK,6387567,2492,75500,,1094,55,True
56,Windows8,6320535,,50800,,846,56,True
57,BigZik,6264838,662,71700,18286,805,57,True
58,PWQJEJFL,6232256,7440,88300,5386,841,58,True
59,RisingCrown,6098589,30744,58300,37820,491,59,True
60,Layy,5903378,,47300,,348,60,True
61,Kudgar,5892475,,3700,,,61,True
62,Phantompain,5824590,5547,63600,,129,62,True
63,Cy4nnn,5817425,,90900,,551,63,True
64,Azorero,5767573,34660,64400,5588,402,64,True
65,RamoxD,5683980,,70000,,,65,True
66,yakut,5542645,1236,21000,5299,240,66,True
67,hefesto,5532164,,,,,67,True
68,칭키스칸,5494198,,70600,,242,68,True
69,HEMANN,5478561,1868,78600,,450,69,True
70,gabbu,5325731,18697,83000,1711,1119,70,True
71,weshcoll,5313941,,30400,,333,71,True
72,ROTT,5303679,10247,,500,125,72,True
73,Lemarck,4943807,,35900,,429,73,True
74,MCGTHEGEMINI,4876366,,40700,,151,74,True
75,ErdiAksoy37,4746830,,59100,,155,75,True
76,Tarub,4573862,,23600,,226,76,True
77,Rebelyus,4360941,4091,33400,,239,77,True
78,YaVuZ,4283237,146000,8700,3312,,78,True
79,krales,4103340,67870,200,,,79,True
80,ERINX,4032062,,52500,18003,264,80,True
81,Moliaro,3698153,,6500,,,81,True
82,Memobrw,3425128,25582,,,,82,True
