rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,PappyPapper,57579163,,,,,4,True
2,Raffyy,55576127,,,,,6,True
3,vlvl,54186984,,,,,7,True
4,ботаник,53657901,,,,,8,True
5,Ojisan91,53563447,,,,,9,True
6,Аджика,49731249,,,,,11,True
7,TecchiFireball,49469143,,,,,12,True
8,Dead_Anarchist,49097986,,,,,13,True
9,Сiмона,48721697,,,,,14,True
10,AntyDeath,47611799,,,,,15,True
11,Marinel,45394660,,,,,17,True
12,Măcelaru,44499794,,,,,18,True
13,saneqek,44297848,,13200,,,19,True
14,Kalbaram,44231601,,,,,20,True
15,XSTORMX,44043496,,,,,21,True
16,CHADZ,43904326,,,,,22,True
17,Серый777666,43612506,,,,,23,True
18,Solosparkzzz,42790039,,,,,24,True
19,TrepanatioXXL,42763695,,,,,25,True
20,xesseku,42731751,,,,,26,True
21,RosGuard,41950838,,,,,27,True
22,DRANGER,41671718,,,,,28,True
23,Zph,41200037,,,,,29,True
24,VonGodeuro,41145225,,,,,20,True
25,Homeland,40449072,,,,,31,True
26,Batangbata,40397304,,,,,32,True
27,AboFahad,5216833,,,,,10,True
28,bigcheese,4719478,,,,,16,True
