rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,Razsiel,65147501,721994,13000,0,,1,True
2,kimse81,36116440,9212,11400,0,163,2,True
3,Raffyy,29793771,42266,15900,0,180,3,True
4,AntyDeath,25879081,12487340,22800,4347,156,4,True
5,XSTORMX,24100307,18407,17200,0,189,5,True
6,PappyPapper,23931977,94907,10800,,163,6,True
7,bigcheese,23417068,783608,12200,0,117,7,True
8,xMorphx,21451902,14569,19900,4329,227,8,True
9,Taidana,21350435,17499,16300,0,111,9,True
10,TecchiFireball,19660156,484958,25100,10867,187,10,True
11,xAeolus,19283143,56466,12000,,143,11,True
12,KMGLAY,17774685,,18100,3060,176,12,True
13,Marinel,17438170,115429,18500,6300,145,13,True
14,Batangbata,16515487,1556539,21700,19823,161,15,True
15,VonGodeuro,15361039,1445781,16100,16528,215,16,True
16,Novac,14906492,9239,16000,,179,17,True
17,AutisticDragon,14136351,352013,20400,3778,,18,True
18,CHADZ,14129591,6760,20500,,98,19,True
19,xesseku,13879445,10249,19000,32491,116,20,True
20,Baronbee,13253595,627124,12600,20859,133,21,True
21,ThoroMG,13172173,,10400,0,,22,True
22,Zph,12911101,634829,18900,27059,213,23,True
23,Douzeper,12846438,609916,3600,,,24,True
24,Kazyma,12638458,,21500,,,25,True
25,ゆ一一,12610337,7182,8600,,140,26,True
26,Kalbaram,12391187,,20100,1154,287,27,True
27,在下梅遊鉛,11953462,20951,14400,11308,167,28,True
28,SeRaFeTTiN,11913196,325085,18300,,,29,True
29,WishingWells,11852118,1790559,,0,,30,True
30,bloodyxmary,11846323,77222,19500,,55,31,True
31,Zoraool,11817337,,29000,3967,162,32,True
32,BestGodOOZx,11814489,134776,13900,500,93,33,True
33,Riggles,11803873,,16000,0,,34,True
34,AlfaStraik,11746264,8606,16900,,99,35,True
35,redripe,11637724,,18600,0,,36,True
36,DragonKiller,11601859,176447,15500,4701,79,37,True
37,AuditorMuda,11360203,,13400,18331,148,38,True
38,Ornthrond,11347618,318861,8700,0,,39,True
39,TeddyT,11345931,379808,20200,,102,40,True
40,Khaleesil3,11266536,51879,18900,8201,125,41,True
41,Zlithx,10956934,,22800,,,42,True
42,すももん,10765418,,18100,0,154,43,True
43,no3Ldev,10163364,1288885,14900,,99,44,True
44,caprice,10041481,493965,13000,,94,45,True
45,Shreff,9917118,,20300,,,46,True
46,YERINY,9575848,,,,,47,True
47,公公春夢,9301305,66449,9600,,85,48,True
48,gabbu,9022483,302921,21400,15727,122,49,True
49,PWQJEJFL,9006062,63753,18700,5064,85,50,True
50,Abanob,8835586,433645,20000,,,51,True
51,Denton1o4,8707530,,,,,52,True
52,ZINK,8627666,776319,19500,,110,53,True
53,chamame,8567944,2997,8900,,,54,True
54,TheGuardainz,8535903,,16000,2350,72,55,True
55,RamoxD,8424157,36312,8200,0,,56,True
56,Kudgar,8249305,,,,,57,True
57,Evangilinel302,8246589,33106,7900,,124,58,True
58,beast,8227395,,,,,59,True
59,Azorero,8227281,34660,20000,2392,92,60,True
60,HoTDog,8218458,24866,16000,4503,87,61,True
61,ноDog,8218458,,,,,1,True
62,BigZik,8198474,662,12300,2887,73,62,True
63,yakut,7995077,1236,21300,,112,63,True
64,Cy4nnn,7923987,,9900,,,64,True
65,FreakyJD,7892869,24486,19400,3288,150,65,True
66,METEHAN61,7873001,,200,,,66,True
67,drikol,7769504,3346,,3710,,67,True
68,ErdiAksoy37,7765085,69258,15300,,,68,True
69,weshcoll,7742911,,17600,,141,69,True
70,louverebellel,7724587,35486,13700,5987,77,70,True
71,Fighbird,7607199,13047,,0,,71,True
72,RisingCrown,7555953,91951,15900,2856,105,72,True
73,lizardcub,7334235,,,0,,73,True
74,Falcon24,7272808,30637,14800,,,74,True
75,Layy,7119429,99264,,,,75,True
76,HEMANN,6974541,1868,10700,,,76,True
77,YaVuZ,6788814,1162587,15300,5348,113,77,True
78,Tarub,6756413,,,,,78,True
79,Lemarck,6444964,,,,,79,True
80,MCGTHEGEMINI,6430687,,17100,,,80,True
81,Phantompain,6147340,5547,,,,82,True
82,KingAnshul,5443701,,19400,,93,83,True
83,Rocco23,4369832,,22200,4088,,84,True
84,Solosparkzzz,2231971,,6400,,151,85,True
85,NanP,1668135,433645,13100,16990,136,14,True
86,ScottT,185488,,7400,,,81,True
87,vinclnchul,701,,,,,2,True
