rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,CeltirDK,58500322,2711521,57400,0,272,2,True
2,xMorphx,53014842,328756,57900,,446,3,True
3,Raffyy,49418923,104645,60100,,271,4,True
4,xAeolus,49247766,457919,48400,,264,5,True
5,Ojisan91,48976288,,73200,,827,6,True
6,ботаник,46945780,2970789,66900,,341,7,True
7,bigcheese,44437579,3378938,43700,,,8,True
8,TecchiFireball,44080399,5363044,69700,3127,,9,True
9,AntyDeath,43939748,5636172,63000,,,10,True
10,DeadAnarchist,43622730,3855924,64700,7133,294,11,True
11,Аджика,43352513,21761580,67400,,936,12,True
12,Kadmos,42875013,5878275,67500,12877,339,13,True
13,Dieks,41794508,2620645,34500,,,14,True
14,Măcelaru,40377053,2117895,28500,,,15,True
15,PappyPapper,40157890,611534,59300,,291,16,True
16,Серый777666,39772841,4301529,75200,4316,247,17,True
17,CHADZ,39388660,6760,67100,,196,18,True
18,XSTORMx,39364595,1424311,69600,15343,484,19,True
19,Marinel,38689719,1514212,70300,39185,395,20,True
20,AboFahad,38645598,33077,56100,13039,435,21,True
21,VonGodeuro,38333769,7786325,71100,,221,22,True
22,RosGuard,37847691,65145,72200,19189,885,23,True
23,xesseku,37661765,10249,67900,47145,274,24,True
24,TrepanatioXXL,37361709,11314014,34100,28565,180,25,True
25,Solosparkzzz,36693390,,33600,,188,26,True
26,Kalbaram,36470159,,73500,35920,879,27,True
27,DRANGER,36429538,460311,72800,18135,288,28,True
28,челяба174,35983524,17390025,62500,784,225,29,True
29,Tanaka,35389943,694481,59500,21846,400,30,True
30,РыП,35383728,8974201,70500,12819,605,31,True
31,Novac,35306319,9239,57900,15205,566,32,True
32,Batangbata,35302692,2554363,71400,58079,581,33,True
33,NanP,35231239,27904,46300,,219,34,True
34,Roberttt,34809792,2934884,43300,,101,35,True
35,sane4ek,34574285,4809101,64700,62014,865,36,True
36,LaUrA,34452980,4052598,46400,0,277,37,True
37,Zph,33911137,1099576,70400,62006,725,38,True
38,在下梅遊鉛,33848062,228817,73400,,334,39,True
39,Unlex,33632227,1309861,42500,,,40,True
40,Homeland,33403119,6954977,63800,,317,41,True
41,SilentResolve,32972867,2910074,68700,,230,42,True
42,MaRkUSЗO,32943503,1791665,34200,,,43,True
43,CDS,32866683,3618898,14300,,,44,True
44,Baronbee,31924139,3013037,59500,2649,321,45,True
45,Taidana,31478970,17499,40300,5874,112,47,True
46,ЛуиДюфине,30868131,232935,63600,,250,48,True
47,WWFSD,30613704,98040,70100,,219,49,True
48,BEASTX,30535115,903046,57700,5900,251,50,True
49,AuditorMuda,29907936,1012668,68000,14844,408,51,True
50,Viktorich,29695987,44517,55600,,,52,True
51,Kazyma,29257625,,70800,,142,53,True
52,Moliaro,29223849,52154,99300,,303,54,True
53,PkLpsTH,29091728,10168,71700,,389,55,True
54,Вованы4,28786128,68341,87900,2334,240,56,True
55,ThorOMG,28606643,44381,57000,0,208,57,True
56,GoatLord,28258291,92628,58100,,259,58,True
57,Nyoibo2026,27700055,8685,61200,,256,59,True
58,salad,27479614,,62900,1870,518,60,True
59,Patroli,26696388,208577,66600,,149,61,True
60,no3Ldev,26457363,1108232,69000,,481,62,True
61,KRAGAN,26419211,983730,42600,9006,212,63,True
62,Gheko,26110892,10875,34000,4686,116,64,True
63,yody,26055698,2734199,58200,13859,259,65,True
64,Orchid,25773116,53799,53900,,376,66,True
65,AlfaStraik,25702518,247865,41500,,,67,True
66,niklivA77,25683440,2779429,72100,22096,516,68,True
67,METEHANGI,25657256,,,,,69,True
68,Meloman3476,25548963,8778,38200,,,70,True
69,IndraE,25469155,119169,70300,995,547,71,True
70,CHEROKEE,25360271,3133,67100,2037,329,72,True
71,РЕГИОН25,25111289,854463,26200,874,134,73,True
72,Иннусик,24719583,208254,24400,1246,107,74,True
73,Hogmanaytime,24714284,,69800,,318,75,True
74,TheGuardainz,24488877,16629,69900,28345,184,76,True
75,ovgum,24429897,445980,20400,536,229,77,True
76,Evangelinel,24421251,90782,53700,,,78,True
77,JohntheDad,24031447,14732,33300,,,79,True
78,TeddyT,23599663,731187,43900,473,157,80,True
79,ХоМ9l4ok,23053710,92598,55800,,,81,True
80,RozzY,23046129,25352,24500,,,82,True
81,titomois,22818154,356298,30700,,,83,True
82,AutisticDragon,22754591,567414,14400,,,84,True
83,ZINK,22625127,823007,76100,,266,85,True
84,Воха4б,22257925,,65700,31911,471,86,True
85,Бумс,22149133,764,64800,,260,87,True
86,bzbz,22034550,697858,46700,,105,88,True
87,Кристид,21972233,59942,70300,13587,426,89,True
88,Yennnnn,21968129,287014,46400,,,90,True
89,Bluey,21765886,10849,78800,7381,144,91,True
90,Zlithx,21597257,,47400,,,92,True
91,DarkSuperman,21539921,244603,33800,,118,93,True
92,1Abanob,21007131,716381,67600,30647,307,94,True
93,BigZik,20851447,662,50100,8993,150,95,True
94,ReyGhaniWin,20567718,647844,34600,,130,96,True
95,Wellder,20350687,1854161,7600,,,97,True
96,LANCELOT,19862156,48593,69100,,165,98,True
97,Бякабука,19128858,254803,42900,,,99,True
98,FreakyJD,18800147,24486,70200,,254,100,True
99,Magnifica,18426879,584834,45500,35658,541,101,True
100,Razsiel,11215003,8126185,67700,,643,1,True
101,itomaic,7201015,,,,,2,True
102,CainCulto,1412971,585,,,,102,True
103,BestGodOOZx,639914,13595875,69500,,161,46,True
