rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,Ceuuron,641426114249502,,,,,2,True
2,XMorpnx,62065244,,,12800,464,3,True
3,PappyPapper,57579163,,,,,4,True
4,Raffyy,55576127,,,,,6,True
5,vlvl,54186984,,,,,7,True
6,ботаник,53657901,,,,,8,True
7,Ojisan91,53563447,,,,,9,True
8,AboFahad,52168337,,,,,10,True
9,Аджика,49731249,,,,,11,True
10,TecchiFireball,49469143,,,,,12,True
11,Сiмона,48721697,,,,,14,True
12,AntyDeath,47611799,,,,,15,True
13,Măcelaru,44499794,,,,,18,True
14,saneqek,44297848,,13200,13200,1129,19,True
15,Kalbaram,44231601,,13300,,,20,True
16,CHADZ,43904325,,,,,22,True
17,Серый777666,43612506,,,,,23,True
18,Solosparkzzz,42790039,,,,,24,True
19,TrepanatioXXL,42763695,,,,,25,True
20,xesseku,42731751,,,,,26,True
21,DRANGER,41671718,,,,,28,True
22,Zph,41200037,,,,,29,True
23,VonGodeuro,41145225,,,,,20,True
24,Homeland,40449074,,,,,31,True
25,Batangbata,40397304,,,,,32,True
26,Kazsiel,14249502,,,11800,,1,True
27,Dead_Anarchist,4909798,3855924,,,,13,True
28,bigcheese,4719478,,,,,16,True
29,Marinel,4539466,,,,,17,True
30,XSTORMX,4404349,,,,,21,True
31,RosGuard,4195083,,,,,27,True
